Cathedral	Lutikko
Church	Kkanisa 
Church	Kkeleziya
Empty	Kikalu
Interesting	Kinyuma
Mosque	Muzigiti
Nice	Kirungi
Quiet	Kisiriikirivu
Statue	Kibumbe
Ticket	Tikiti
University	Yunivasite
Nightclub	Kirabo
King	Kabaka
President	Pulezidenti
Prime minister	Katikkiro
Minister	Minisita
Member of Parliament	Mukyise mu Paalimenti
Mayor	Meeya
Chief	Mwami
North	Bukiikakkono
North	Mambuka
South	Bukiikaddyo
South	Maserengeta
East	Buvanjuba
West	Bugwanjuba
Left	Kkono
Right	Ddyo
Up	Waggulu
Down	Wansi
What's the weather like?	Embeera y'obudde eri etya?
Cloudy	bwa kikome
Cold	bunnyogovu
Flooding	bwa mataba
Hot	bwa bbugumu
Raining heavily	 	bwa nkuba y'amaanyi
Raining lightly	bwa nkuba ya lutonnyeze
Warm	bwa kibuguumirize
Windy	bwa mbuyaga
Clouds	Bire
Dry season	Ebiseera by'omusana
Earth	Nsi
Fog	Lufu
Moon	Mwezi
Mud	Bisooto
Rain	Nkuba
Rainy season	Biseera by'enkuba
Sky	Ggulu
Smoke	Mukka
Star	Mmunyeenye
Storm	Mbuyaga
Sun	Njuba
Sunshine	Musana
Bridge	Lutindo
Cave	Mpuku
City	Kibuga
Country	Ggwanga
County	Ssaza
Forest	Kibira
Harbour	Mwalo
Hill	Kasozi
Hot Spring	Nsulo ezookya
Island	Kizinga
Lake	Nnyanja
Mountain	Lusozi
Plain	Museetwe
River	Mugga
Sea	Nnyanja
Stream	Mwala
Swamp	Lutobazzi
Town	Kibuga
Valley	Kikko/kiwonvu
Village	Kyalo
Agriculture	Byabulimi
Coffee	Mwanyi
Corn	Kasooli
Firewood	Nku
Flower	Kimuli
Fruit tree	Muti gw'ebibala
Harvest	Kukungula
Irrigation	Kufukirira
Leaf	Kikoola
Planting	Kusimba
Rice	Muceere
Rice	mupunga
Sugar cane	Kikajjo
Tea	Caayi
Tobacco	Taaba
Vanilla	Vanila
Bird	Kinyonyi
Buffalo	Mbogo
Cat	Kapa
Cat	pusi
Chicken	Nkoko
Chimpanzee	Zzike
Cow	Nte
Crocodile	Goonya
Dog	Mbwa
Fish	Kyenyanja
Frog	Kikere
Goat	Mbuzi
Horse	Mbalaasi
Leech	Kinoso
Leopard	Ngo
Lion	Mpologoma
Monkey	Nkima
Pig	Mbizzi
Rooster	Sseggwanga
Sheep	Ndiga
Snake	Musota
Spider	Nabbubi
Zebra	Ntulege
Butterfly	Kiwojjolo
Cockroach	Kiyenje
Fly	Nsowera
Grasshopper	Nseenene 
Mosquito	Nsiri
Termites	Nkuyege
White Ant	Nswa
Mountain climbing	Kulinnya nsozi
Fishing	Kuvuba
Hunting	Kuyigga
Swimming	Kuwuga
Knife	Kambe
Lamp	Ttaala
Light	Kitangaala
Mat	Kiwempe
Mat	omukeeka
Rope	Muguwa
Stove	Sitoovu
Tent	Weema
flashlight	Tooci 
Torch	Tooci
GoodMorning	Wasuze otya nno?
Good afternoon	Osiibye otya nno?
Good Evening	Osiibye otya nno?
Hi	Ki kati 
How are you?	Oli Otya
I am ok	Gyendi
Have nice day	Siiba bulungi  
Good night	Sula bulungi
goodbye to one person	Weeraba
goodbye to more than one person	Mweraba
Welcome to one or several people	Tukusanyukidde
See you later	Tunaalabagana
Please	Mwattu
Thank you	Weebale
Thank you very much	Weebale Nnyo
Excuse me in order to get someone’s attention	Owange
Please sit down	Mwattu tuula wansi
Pardon me, what did you say?	Wangi?
Pardon me, what did you say?	Ogamby Ki?
I am sorry	Nsonyiwa
OK	Kale
No thanks	Nedda
I do not know	Simanye
What time is it?	Sawa mmeka?
How much is it?	Mmekka Ssente?
I do not have any money	Sirina Sente
I love you	Nkwagala
I am	Nze 
Madam	Nyabo
Sir	Ssebo
I am angry	ndi munyiivu
I am cold	mpulira empewo
I am full	ndi mukkufu
I am happy	ndi musanyufu
I am hot	mpulira ebbugumu
I am hungry	Enjala ennuma
I am sad	ndi munakuwavu
I am scared	ntidde
I am sick	ndi wulwadde
I am thirsty	ennyonta ennuma
I am tired	nkooye
I am worried	ndi mweraliikirivu
Do you speak English?	Omanyi olungereza
Yes, I do	Weewawo
No, I do not	Nedda
Does anyone here speak English?	Wano waliwo amanyi olungereza?
Do you understand?	Otegeera?
I understand	Ntegeera
